FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição
vw_pib_percapita.fid--33501df1_157d3a3b533_-16f2,628,RIO GRANDE DO SUL,Frederico Westphalen,2010,490769.53125,28428,17263.59960938,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16ef,1199,SERGIPE,Amparo de São Francisco,2010,12769.73339844,2268,5630.39013672,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16ee,4548,SÃO PAULO,Itapeva,2010,1120700,89768,12484.40039062,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16e1,2248,PARAÍBA,Bayeux,2010,604882125,96198,6287.89013672,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16df,5554,TOCANTINS,Ananás,2010,59541.40625,9514,6258.29003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16d5,3034,MINAS GERAIS,Santo Antônio do Retiro,2010,25568.890625,7087,3607.86010742,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16d1,2458,PARAÍBA,Serra Branca,2010,62123.3359375,12816,4847.33007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16d0,1008,AMAZONAS,Envira,2010,69843.03125,17614,3965.19995117,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16c2,5357,TOCANTINS,Oliveira de Fátima,2010,11591.94921875,1129,10267.45019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16c1,4293,SÃO PAULO,Elisiário,2010,52295.234375,3317,15765.8203125,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16b7,5437,SANTA CATARINA,Otacílio Costa,2010,364577.8125,16587,21979.73046875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16a9,3243,MINAS GERAIS,Sericita,2010,39047.0703125,7345,5316.14013672,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-16a8,3352,MINAS GERAIS,Diamantina,2010,287632.03125,46372,6202.70996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-169e,4559,BAHIA,Maetinga,2010,23558.44726562,7884,2988.12988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1691,4890,CEARÁ,Iracema,2010,62552.0234375,15114,4138.68017578,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-168f,1529,RORAIMA,São João da Baliza,2010,59372.453125,6028,9849.45019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1684,647,RIO GRANDE DO SUL,Paulo Bento,2010,37882.76953125,2149,17628.08984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1682,3595,PERNAMBUCO,Alagoinha,2010,57886.21484375,14913,3881.59008789,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1680,1146,PIAUÍ,Inhuma,2010,62012.0234375,15490,4003.36010742,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-167f,1654,MARANHÃO,Joselândia,2010,60842.48046875,16188,3758.48999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1670,1999,RIO DE JANEIRO,Itaguaí,2010,3008327.25,105633,28479.05078125,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1665,3202,MINAS GERAIS,Cedro do Abaeté,2010,10221.85644531,1221,8371.70996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1655,444,RIO GRANDE DO SUL,Cacequi,2010,174171.703125,13578,12827.49023438,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-162e,3644,PERNAMBUCO,Barra de Guabiraba,2010,46595.87109375,13623,3420.37988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-162d,4475,BAHIA,Ibirapuã,2010,74997.40625,7893,9501.75976562,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1623,2251,PARAÍBA,Bernardino Batista,2010,11964.66210938,3315,3609.25,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1622,2160,PARAÍBA,Lagoa,2010,19203.7109375,4949,3880.32006836,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1620,3988,MATO GROSSO,Novo Horizonte do Norte,2010,32778.5078125,3970,8256.54980469,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1614,2595,MINAS GERAIS,Nova Lima,2010,2120726.75,76608,27682.83984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-160f,2389,PARÁ,Tomé-Açu,2010,226379.46875,48607,4657.33984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1604,4459,BAHIA,Governador Mangabeira,2010,92903.8203125,20668,4495.06005859,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1603,5018,PIAUÍ,Aroeiras do Itaim,2010,8614.79785156,2759,3122.42993164,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1602,1188,GOIÁS,Perolândia,2010,145665.390625,2830,51471.87109375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15f5,2425,PARAÍBA,Pocinhos,2010,68767.046875,16538,4158.12011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15f4,4478,BAHIA,Ibititá,2010,62366.88671875,19410,3213.12988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15f3,5403,TOCANTINS,Aliança do Tocantins,2010,44565.703125,5822,7654.70996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15e7,3521,MINAS GERAIS,Igarapé,2010,277495.78125,33773,8216.5,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15e4,1108,TOCANTINS,Lagoa da Confusão,2010,263527.4375,8711,30252.25976562,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15d4,2429,PARAÍBA,Puxinanã,2010,59902.4921875,13354,4485.72998047,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15d2,5045,SÃO PAULO,Guarujá,2010,3429098.5,308058,11131.33984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15c0,168,RIO GRANDE DO SUL,Engenho Velho,2010,24098.88671875,1467,16427.33007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15bf,3794,PARANÁ,Rio Bom,2010,29087.8984375,3292,8835.9296875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15ba,153,BAHIA,Sátiro Dias,2010,75908.4609375,18919,4012.29003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15af,5372,SANTA CATARINA,José Boiteux,2010,50867.8984375,5054,10064.87988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15ae,2225,PARÁ,Cachoeira do Arari,2010,62800.12890625,20411,3076.7800293,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15a4,4490,BAHIA,Irajuba,2010,29224.98828125,7666,3812.29003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-15a3,3466,PERNAMBUCO,Palmares,2010,387086.59375,58819,6580.97998047,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-159f,1243,SERGIPE,Brejo Grande,2010,39924.37890625,8086,4937.47021484,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-159e,2966,PARANÁ,Altamira do Paraná,2010,37563.4296875,3799,9887.71972656,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1592,2325,MATO GROSSO,Nova Santa Helena,2010,49004,3473,14109.99023438,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1580,2418,PARAÍBA,São Sebastião do Umbuzeiro,2010,15186.453125,3170,4790.68017578,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-157e,4076,MATO GROSSO,Nova Guarita,2010,45700.81640625,4907,9313.38964844,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1574,2520,MARANHÃO,Serrano do Maranhão,2010,40995.56640625,11085,3698.29003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1570,4728,SÃO PAULO,Pedrinhas Paulista,2010,75881.6875,2927,25924.73046875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-156f,1253,GOIÁS,Santa Rita do Novo Destino,2010,29350.61328125,3576,8207.66992188,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1564,2351,PARAÍBA,Cabedelo,2010,2332828.25,51865,44978.8515625,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1563,3703,PERNAMBUCO,Cabrobó,2010,188859.3125,30432,6205.95019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-155a,814,ALAGOAS,Dois Riachos,2010,35078.25390625,11200,3131.98999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1554,1398,MATO GROSSO DO SUL,Corumbá,2010,2715506.75,99467,27300.58007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-150d,2948,MINAS GERAIS,Santa Maria do Suaçuí,2010,71374.390625,14931,4780.27978516,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-150b,4029,MATO GROSSO,Tapurah,2010,321427.21875,11517,27908.93945312,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14f9,2218,PARÁ,Bragança,2010,382807.5625,107060,3575.63989258,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14ef,1936,RIO DE JANEIRO,Três Rios,2010,1304643375,76075,17149.43945312,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14e1,801,ALAGOAS,Belém,2010,19550.015625,5083,3846.15991211,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14e0,1399,CEARÁ,Abaiara,2010,33615.54296875,11077,3034.7199707,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14df,4517,BAHIA,Itaquara,2010,33105.69921875,7743,4275.56982422,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14da,1751,MARANHÃO,Santa Luzia,2010,243949.921875,71455,3414.04003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14ce,2345,PARAÍBA,Patos,2010,615180875,100732,6107.10009766,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14cb,4850,SÃO PAULO,São Luís do Paraitinga,2010,82827.171875,10908,7593.25,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14bb,5269,SANTA CATARINA,Cordilheira Alta,2010,128883.09375,3531,36500.44921875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14ba,3198,MINAS GERAIS,Catas Altas da Noruega,2010,14633.55566406,3573,4095.59008789,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14b8,739,ACRE,Marechal Thaumaturgo,2010,109181.8671875,14275,7648.47021484,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14a8,2460,PARAÍBA,Riachão do Bacamarte,2010,17855.66796875,4319,4134.20996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14a7,2518,MARANHÃO,Senador Alexandre Costa,2010,31518.8046875,9414,3348.08007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14a6,2494,MARANHÃO,São Raimundo do Doca Bezerra,2010,19792.5078125,4372,4527.10986328,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-14a5,3957,PARANÁ,Diamante do Norte,2010,39603.3515625,5668,6987.18017578,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-149a,2221,PARÁ,Breu Branco,2010,282525.6875,52200,5412.37011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1499,3599,PERNAMBUCO,Angelim,2010,41266.19140625,10385,3973.62988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1491,508,RIO GRANDE DO SUL,Arvorezinha,2010,120895.8828125,10548,11461.5,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-148f,1739,MARANHÃO,Presidente Médici,2010,26121.25585938,6363,4105.18017578,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-148e,542,RIO GRANDE DO SUL,Palmeira das Missões,2010,597852.75,34225,17468.30078125,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-147c,4283,SÃO PAULO,Divinolândia,2010,158577.421875,11343,13980.20019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-147b,4334,BAHIA,Cansanção,2010,112228.7734375,34093,3291.84008789,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1474,1237,SERGIPE,Tomar do Geru,2010,62506.4609375,13717,4556.85986328,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-146d,3865,PARANÁ,Santa Lúcia,2010,34974.37109375,3743,9343.94042969,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1464,1764,RIO GRANDE DO NORTE,Rafael Godeiro,2010,14798.20410156,3251,4551.89013672,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1463,1859,CEARÁ,Novo Oriente,2010,93621.4453125,28703,3261.72998047,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-145c,2464,PARAÍBA,Alcantil,2010,22410.37304688,5232,4283.33007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-145b,5395,SANTA CATARINA,Meleiro,2010,158156.390625,7063,22392.24023438,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-145a,4023,MATO GROSSO,Sapezal,2010,1418892125,15735,90174.2734375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-143c,2803,MINAS GERAIS,Pouso Alto,2010,80420.0546875,6494,12383.75,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-143a,1090,PIAUÍ,Dom Inocêncio,2010,25457.23046875,10795,2358.23999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-142f,1286,SERGIPE,Santana do São Francisco,2010,30641.17382812,6861,4465.99023438,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-142e,3011,MINAS GERAIS,Campanha,2010,145911.328125,15949,9148.62011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-142b,2611,MINAS GERAIS,Orizânia,2010,32101.34765625,7078,4535.37011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-142a,4932,SANTA CATARINA,São José do Cerrito,2010,78940.25,10624,7430.37011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1415,5493,PIAUÍ,Prata do Piauí,2010,10738.21386719,3260,3293.92993164,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1414,2054,MARANHÃO,Amarante do Maranhão,2010,131346625,37388,3513.07006836,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13fa,4511,BAHIA,Itaparica,2010,102586.6484375,20796,4933,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13f9,4202,SÃO PAULO,Araraquara,2010,4193535.25,200666,20898.08984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13f5,924,SERGIPE,Indiaroba,2010,86033.2578125,18126,4746.39990234,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13f4,1825,RIO GRANDE DO NORTE,Taipu,2010,68109.515625,12165,5598.81005859,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13f2,80,BAHIA,Nova Redenção,2010,28909.56835938,9318,3102.55004883,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13e7,2208,PARÁ,Aveiro,2010,54393.734375,20266,2683.98999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13e2,1051,PIAUÍ,Alegrete do Piauí,2010,21006.09179688,4595,4571.50976562,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13da,499,RIO GRANDE DO SUL,Monte Belo do Sul,2010,58234.10546875,2826,20606.55078125,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13d9,4142,PARANÁ,Nova Aurora,2010,189617.90625,11636,16295.79980469,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13d7,3606,PERNAMBUCO,Santa Maria do Cambucá,2010,48165.3125,12942,3721.62988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13d6,5453,SANTA CATARINA,Peritiba,2010,46664.69921875,2977,15675.08007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13c8,2991,MINAS GERAIS,Brasópolis,2010,105255.1484375,14756,7133.04003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13c7,5030,PIAUÍ,Lagoa Alegre,2010,24826.51953125,8210,3023.93994141,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13c5,5197,PIAUÍ,Curimatá,2010,40100.8359375,10765,3725.11010742,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13c4,2245,PARAÍBA,Barra de Santana,2010,34139.8046875,8909,3832.06005859,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13b7,3676,MINAS GERAIS,Leme do Prado,2010,22865.88476562,5145,4444.29003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13b6,2563,PARAÍBA,Alagoa Nova,2010,123786.2734375,19799,6252.14990234,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13b4,312,RIO GRANDE DO SUL,São Jerônimo,2010,281260.28125,21289,13211.53027344,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13a7,2839,MINAS GERAIS,Rio Vermelho,2010,62241.30078125,15343,4056.65991211,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13a5,5051,SÃO PAULO,Itapevi,2010,3638207.25,205881,17671.41015625,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-13a4,4468,BAHIA,Ibicuí,2010,69475.15625,16464,4219.81982422,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1398,2883,PARANÁ,Rancho Alegre,2010,33275.3046875,4083,8149.72021484,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1395,624,RIO GRANDE DO SUL,Erval Grande,2010,53334.69921875,5367,9937.53027344,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1394,4082,MATO GROSSO,Planalto da Serra,2010,33849.7578125,2797,12102.16992188,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1385,274,BAHIA,Santa Rita de Cássia,2010,91663,27528,3329.81005859,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1377,3526,MINAS GERAIS,Imbé de Minas,2010,38283.34375,6641,5764.70019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1375,815,GOIÁS,Novo Gama,2010,352584.96875,88835,3968.98999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-136d,5566,PIAUÍ,Passagem Franca do Piauí,2010,14411.97558594,4246,3394.25,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-136b,155,RIO GRANDE DO SUL,Chuí,2010,140923.671875,5496,25641.13085938,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-136a,1431,CEARÁ,Ibaretama,2010,42010.30078125,13206,3181.14990234,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1369,4217,SÃO PAULO,Bastos,2010,322317.3125,21380,15075.65039062,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1368,4344,SÃO PAULO,Três Fronteiras,2010,49727.08984375,5163,9631.4296875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-135a,921,GOIÁS,Britânia,2010,48315.8125,5190,9309.41015625,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1357,3374,MINAS GERAIS,Douradoquara,2010,23141.8359375,1924,12027.98046875,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-134e,3895,PARANÁ,Piraí do Sul,2010,293748.59375,24374,12051.71972656,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-134c,4187,SÃO PAULO,Américo Brasiliense,2010,578886875,33255,17407.50976562,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-134b,69,BAHIA,Nordestina,2010,35456.31640625,12670,2798.44995117,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1349,2746,PARANÁ,São Manoel do Paraná,2010,18855.14453125,2170,8689.00976562,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1341,5521,SANTA CATARINA,Santa Cecília,2010,201708875,15928,12663.79003906,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-133f,2477,PARAÍBA,Serra Grande,2010,12504.2421875,3147,3973.37988281,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-133e,5564,PIAUÍ,Alagoinha do Piauí,2010,27277.73046875,7736,3526.08007812,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-133d,4928,SANTA CATARINA,São João do Sul,2010,84870.84375,7174,11830.33984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-132e,1375,MATO GROSSO DO SUL,Anastácio,2010,202939.390625,23047,8805.45996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-131b,1671,RIO GRANDE DO NORTE,Pedra Preta,2010,12639.96777344,2718,4650.47021484,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-131a,2038,MARANHÃO,Alto Alegre do Maranhão,2010,70238.390625,22914,3065.30004883,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1318,1144,SERGIPE,Poço Redondo,2010,138586.828125,30249,4581.52978516,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1317,8,SÃO PAULO,Sertãozinho,2010,4155643.5,110999,37438.5703125,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-130a,2462,PARAÍBA,Riacho de Santo Antônio,2010,9611.00976562,1588,6052.27001953,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1309,2381,PARAÍBA,São José da Lagoa Tapada,2010,29955.484375,8067,3713.34008789,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1307,4395,BAHIA,Coronel João Sá,2010,76828.921875,18408,4173.66992188,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12ff,520,RIO GRANDE DO SUL,Sarandi,2010,389289.53125,21828,17834.41015625,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12fc,1627,MARANHÃO,Governador Luiz Rocha,2010,23451.05078125,7144,3282.62011719,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12fa,2716,MINAS GERAIS,Piranguçu,2010,34538.80859375,5319,6493.47998047,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12f9,108,BAHIA,Pedro Alexandre,2010,58842.01171875,17698,3324.7800293,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12f8,1775,MARANHÃO,Morros,2010,48157.7734375,17916,2687.97998047,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-12f7,131,RIO GRANDE DO SUL,Casca,2010,201810.28125,8654,23319.88085938,Produto Interno Bruto per capita
